text	label
Tipo do Movimento:Arquivamento Tipo de arquivamento:definitivoSituação:Em fase de encaminhamento ao arquivo	H:Arquivado
Cancelada a Distribuição (movimentação exclusiva do distribuidor) Sentença de fl. 51	H:Ativo
Petição Juntada Juntada a petição diversa - Tipo: Petição Intermediária em Usucapião - Número: 80016 - Protocolo: FSZN19000045845	H:Ativo
Guia Juntada	H:Arquivado
Arquivado Definitivamente - Processo Findo com Condenação	H:Arquivado
Certidão de Publicação Expedida Relação :0417/2018 Data da Disponibilização: 27/11/2018 Data da Publicação: 28/11/2018 Número do Diário: Página:	H:Arquivado
Certidão de Cartório Expedida C E R T I D Ã OCertifico e dou fé, que as custas foram recolhidas na página 153. Nada Mais. Santos, 04 de julho de 2016. MARINA SOBRAL.	H:Arquivado
AR Positivo Juntado Juntada de AR : AR811946088TJ Situação : Cumprido Modelo : Processo Digital - Carta - Intimação - Andamento em 5 dias Destinatário : Maria Aparecida Gomes Ferraz Germano Diligência : 11/06/2018	H:Ativo
Certidão de Publicação Expedida Relação :0496/2018 Data da Disponibilização: 15/06/2018 Data da Publicação: 18/06/2018 Número do Diário: 2596 Página: 3147-3149	H:Suspenso
Início da Execução Juntado 0000039-42.2017.8.26.0053 - Cumprimento Provisório de Sentença	H:Ativo
Mudança de Classe Processual	H:Arquivado
Cancelada a Distribuição (movimentação exclusiva do distribuidor) Conforme despacho do MM Juiz(a) fls. 135 em 15/09/2015.	H:Arquivado
Tipo do Movimento:Ato Ordinatório Praticado Descrição:Certifico que não há custas pendentes de recolhimento nos presentes autos.	H:Arquivado
Remetidos os Autos para o Arquivo Geral – Devolução de Feitos Não Reativados	H:Arquivado
Remetidos os Autos para o Tribunal de Justiça/Colégio Recursal - Processo Digital	H:Ativo
Remetidos os Autos para o Tribunal de Justiça/Colégio Recursal - Processo Digital	H:Ativo
Certidão de Cartório Expedida Certidão - Genérica	H:Ativo
Certidão de Publicação Expedida Relação :0038/2019 Data da Disponibilização: 06/02/2019 Data da Publicação: 07/02/2019 Número do Diário: 2743 Página: 705	H:Suspenso
Suspensão do Prazo Prazo referente ao usuário foi alterado para 22/03/2019 devido à alteração da tabela de feriados	H:Suspenso
Certidão de Cartório Expedida Certidão - Genérica	H:Suspenso
Arquivado Provisoriamente A tramitação se dará nos incidentes digitais em andamento, onde prosseguirá com peticionamento eletrônico. Os autos ficarão à disposição em cartório para eventual consulta pelo prazo de 30 dias a contar da movimentação do recebimento nesta Unidade.	H:Arquivado
Redistribuído Livremente (por Sorteio) (movimentação exclusiva do distribuidor) Determinação judicial de fls.1704	H:Ativo
Mero Expediente	H:Ativo
Tipo do Movimento:Recebimento 	H:Ativo
Certidão de Trânsito em Julgado com Baixa Expedida Art. 267, IV	H:Arquivado
Arquivado Definitivamente	H:Arquivado
Autos Entregues em Carga ao Advogado do Autor Felipe Antonio da Silva, RG: 48031375 R. Riachuelo, 231 - 9° andar. TEL: 3106-1304 Tipo de local de destino: Advogado Especificação do local de destino: Mauro Del Ciello	H:Ativo
Remetidos os Autos para o Tribunal de Justiça - Seção de Direito Público CARGA NORMAL Procedimento Comum controle 3469/09 1º ao 7º volumes Tipo de local de destino: Tribunal de Justiça de São Paulo Especificação do local de destino: Tribunal de Justiça de São Paulo	H:Ativo
Arquivado Definitivamente	H:Arquivado
Certidão de Remessa da Intimação Para o Portal Eletrônico Expedida Certidão - Remessa da Intimação para o Portal Eletrônico	H:Ativo
Petição Juntada Nº Protocolo: WFPA.18.80105348-7 Tipo da Petição: Contestação Data: 30/08/2018 15:29	H:Ativo
Suspensão do Prazo Prazo referente ao usuário foi alterado para 25/03/2019 devido à alteração da tabela de feriados	H:Ativo
Suspensão do Prazo Prazo referente ao usuário foi alterado para 20/02/2019 devido à alteração da tabela de feriados	H:Ativo
Arquivado Definitivamente	H:Arquivado
Suspensão do Prazo Prazo referente ao usuário foi alterado para 31/01/2019 devido à alteração da tabela de feriados	H:Ativo
Arquivado Definitivamente	H:Arquivado
Remetidos os Autos para o Arquivo Geral – Devolução de Feitos Não Reativados PACOTE:891/2016	H:Arquivado
Remetidos os Autos à Minuta	H:Ativo
Ofício Juntado Juntada a petição diversa - Tipo: Ofício em Procedimento Especial da Lei Antitóxicos - Número: 80038 - Complemento: VEC informa extinção da pena privativa de liberdade pelo cumprimento (réu Fernando Henrique).	H:Arquivado
Suspensão do Prazo Prazo referente ao usuário foi alterado para 11/04/2019 devido à alteração da tabela de feriados	H:Ativo
Remetidos os Autos para o Arquivo Geral – Devolução de Feitos Não Reativados PACOTE 7196/17 - 02 VOL	H:Arquivado
Suspensão do Prazo Prazo referente ao usuário foi alterado para 11/02/2019 devido à alteração da tabela de feriados	H:Ativo
Remetidos os Autos para o Tribunal de Justiça/Colégio Recursal - Processo Digital	H:Ativo
Baixa Definitiva	H:Arquivado
Arquivado Definitivamente	H:Arquivado
Arquivado Definitivamente Certifico e dou fé que, em cumprimento ao já determinado, remeto os presentes autos ao arquivo.	H:Arquivado
Certidão de Não Consulta ao Teor da Informação - Contagem de Prazo do Ato - Expedida Certidão de Não Leitura - Contagem de Prazo do Ato	H:Ativo
Suspensão do Prazo Prazo referente ao usuário foi alterado para 19/06/2019 devido à alteração da tabela de feriados	H:Ativo
Arquivado Provisoriamente	H:Suspenso
Arquivado Definitivamente	H:Arquivado
Remetidos os Autos para o Tribunal de Justiça - Seção de Direito Público Tipo de local de destino: Tribunal de Justiça de São Paulo Especificação do local de destino: Tribunal de Justiça de São Paulo	H:Ativo
Tipo do Movimento:RemessaDestinatário:Tribunal de Justiça Prazo:15 dia(s)	H:Ativo
Ofício Expedido Ofício - Genérico	H:Ativo
Certidão de Cartório Expedida Certifico e dou fé, haver anotado digitalmente junto à r. Decisão de fls. 242, a interposição de Agravo de Instrumento perante ao Egrégio Tribunal de Justiça do Estado de São Paulo, conforme determinação de fls. 322. Nada Mais.	H:Ativo
Expedição de documento Remessa à 2ª Instância - sem mídia	H:Ativo
Petição Juntada Nº Protocolo: WFPA.17.80045743-5 Tipo da Petição: Petição Intermediária Data: 12/06/2017 11:56	H:Ativo
Remetidos os Autos para o Tribunal de Justiça - Seção de Direito Público REMETIDO AO EGRÉGIO TRIBUNAL DE JUSTIÇA DE SÃO PAULO/SP - 1ª A 18ª CÂMARAS DE DIREITO PÚBLICO - COMPLEXO JUDICIÁRIO DO IPIRANGA- SALA 38 (VINTE E DOIS VOLUMES + NO 15º TEM 04 APENSOS, INCLUINDO O 23º VOLUME DO AGRAVO 384.814.5/9-02 + 22 VOLUMES DO REFERIDO AGRAVO + NO 17º 01 APENSO + 19º 01 APENSO. Tipo de local de destino: Tribunal de Justiça de São Paulo Especificação do local de destino: Tribunal de Justiça de São Paulo	H:Ativo
Início da Execução Juntado 0026174-57.2018.8.26.0053 - Cumprimento Provisório de Sentença	H:Ativo
Recebidos os Autos do Advogado Tipo de local de destino: Cartório Especificação do local de destino: Cartório da 8ª Vara de Fazenda Pública	H:Ativo
Remetidos os Autos para Outro Tribunal Estadual (movimentação exclusiva do distribuidor) Remessa dos autos à Comarca de Ariquemes - RO., por determinação.	H:Ativo
Tipo do Movimento:Arquivamento Tipo de arquivamento:definitivoSituação:Em fase de encaminhamento ao arquivo	H:Arquivado
Certidão de Publicação Expedida Relação :0076/2016 Data da Disponibilização: 06/05/2016 Data da Publicação: 09/05/2016 Número do Diário: 2110 Página: 235/244	H:Arquivado
Arquivado Definitivamente procedente	H:Arquivado
Remetidos os Autos para o Tribunal de Justiça/Colégio Recursal - Processo Digital	H:Ativo
Petição Juntada Juntada a petição diversa - Tipo: Petições Diversas em Procedimento Comum Cível - Número: 80008 - Protocolo: FFPA19000496240	H:Ativo
Arquivado Definitivamente	H:Arquivado
Certidão de Cartório Expedida Certidão - Arquivo	H:Suspenso
Suspensão do Prazo Prazo referente à carga foi alterado para 10/05/2019 devido à alteração da tabela de feriados	H:Ativo
Arquivado Definitivamente	H:Arquivado
